"노선번호","역명","board","X좌표","Y좌표","mean"
"8551 : 봉천역 - 노량진역","구암초등학교","s",126.9461583001,37.4891980721,416.85
"8551 : 봉천역 - 노량진역","구암초등학교","h",126.9461583001,37.4891980721,7.5
"8551 : 봉천역 - 노량진역","노량진역","s",126.9417374368,37.513598043,3.55
"8551 : 봉천역 - 노량진역","노량진역","s",126.9433511027,37.5138239646,184.95
"8551 : 봉천역 - 노량진역","노량진역","h",126.9417374368,37.513598043,2452.55
"8551 : 봉천역 - 노량진역","노량진역","h",126.9433511027,37.5138239646,1.4
"8551 : 봉천역 - 노량진역","동작구청.노량진초등학교앞","s",126.9400732336,37.5103722106,72.15
"8551 : 봉천역 - 노량진역","동작구청.노량진초등학교앞","s",126.9402118042,37.5105585207,51.15
"8551 : 봉천역 - 노량진역","동작구청.노량진초등학교앞","h",126.9400732336,37.5103722106,10.7
"8551 : 봉천역 - 노량진역","동작구청.노량진초등학교앞","h",126.9402118042,37.5105585207,440.7
"8551 : 봉천역 - 노량진역","봉천역","s",126.9421257439,37.4831645709,83.35
"8551 : 봉천역 - 노량진역","봉천역","h",126.9421257439,37.4831645709,0.45
"8551 : 봉천역 - 노량진역","봉천역.관악초등학교","s",126.9433283313,37.4823180745,1.65
"8551 : 봉천역 - 노량진역","봉천역.관악초등학교","h",126.9433283313,37.4823180745,1383.75
"8551 : 봉천역 - 노량진역","상도2동아이파크.포스코더샵아파트","s",126.9408659752,37.5014982457,121.65
"8551 : 봉천역 - 노량진역","상도2동아이파크.포스코더샵아파트","s",126.941263059,37.5011617899,524.6
"8551 : 봉천역 - 노량진역","상도2동아이파크.포스코더샵아파트","h",126.9408659752,37.5014982457,65.95
"8551 : 봉천역 - 노량진역","상도2동아이파크.포스코더샵아파트","h",126.941263059,37.5011617899,144.3
"8551 : 봉천역 - 노량진역","상도4동약수맨션","s",126.9433611718,37.4979576021,378.75
"8551 : 봉천역 - 노량진역","상도4동약수맨션","s",126.9435770749,37.4980785039,744.45
"8551 : 봉천역 - 노량진역","상도4동약수맨션","h",126.9433611718,37.4979576021,29.95
"8551 : 봉천역 - 노량진역","상도4동약수맨션","h",126.9435770749,37.4980785039,26.85
"8551 : 봉천역 - 노량진역","신봉초등학교입구","s",126.9466888379,37.4843352885,149.4
"8551 : 봉천역 - 노량진역","신봉초등학교입구","h",126.9466888379,37.4843352885,5.05
"8551 : 봉천역 - 노량진역","신상도초등학교","s",126.9436417339,37.4993447143,484.7
"8551 : 봉천역 - 노량진역","신상도초등학교","s",126.9437675046,37.4991386058,223.45
"8551 : 봉천역 - 노량진역","신상도초등학교","h",126.9436417339,37.4993447143,28.15
"8551 : 봉천역 - 노량진역","신상도초등학교","h",126.9437675046,37.4991386058,131.4
"8551 : 봉천역 - 노량진역","은천동두산아파트3단지","s",126.9466771409,37.484466351,207.4
"8551 : 봉천역 - 노량진역","은천동두산아파트3단지","h",126.9466771409,37.484466351,220.6
"8551 : 봉천역 - 노량진역","은천동벽산블루밍아파트105동","s",126.9459380417,37.4894290616,236.1
"8551 : 봉천역 - 노량진역","은천동벽산블루밍아파트105동","h",126.9459380417,37.4894290616,79.3
"8551 : 봉천역 - 노량진역","장성교회","s",126.9400124392,37.508208587,57.7
"8551 : 봉천역 - 노량진역","장성교회","h",126.9400124392,37.508208587,13.15
"8551 : 봉천역 - 노량진역","청화병원","s",126.9399895404,37.5072594891,225.2
"8551 : 봉천역 - 노량진역","청화병원","h",126.9399895404,37.5072594891,147.6
"8551 : 봉천역 - 노량진역","현대시장","s",126.9465436802,37.4876688778,430.3
"8551 : 봉천역 - 노량진역","현대시장","s",126.946718691,37.4873251417,337.35
"8551 : 봉천역 - 노량진역","현대시장","h",126.9465436802,37.4876688778,12.85
"8551 : 봉천역 - 노량진역","현대시장","h",126.946718691,37.4873251417,93.05
"8552 : 신림복지관 - 신림역","난곡우체국사거리","s",126.9156017801,37.4770477738,140.75
"8552 : 신림복지관 - 신림역","난곡우체국사거리","h",126.9156017801,37.4770477738,79.8
"8552 : 신림복지관 - 신림역","난곡입구","s",126.9155941872,37.4818905995,150.05
"8552 : 신림복지관 - 신림역","난곡입구","h",126.9155941872,37.4818905995,139.6
"8552 : 신림복지관 - 신림역","난우중학교입구","s",126.9204312325,37.4667211125,443.1
"8552 : 신림복지관 - 신림역","난우중학교입구","h",126.9204312325,37.4667211125,1.4
"8552 : 신림복지관 - 신림역","남강중고등학교입구","s",126.9194667496,37.4722404939,689.15
"8552 : 신림복지관 - 신림역","남강중고등학교입구","h",126.9194667496,37.4722404939,10.45
"8552 : 신림복지관 - 신림역","남서울중학교.성보중고등학교","s",126.9208025963,37.4828682465,373.6
"8552 : 신림복지관 - 신림역","남서울중학교.성보중고등학교","h",126.9208025963,37.4828682465,523.6
"8552 : 신림복지관 - 신림역","세이브마트앞","s",126.9181217068,37.4737877659,425.85
"8552 : 신림복지관 - 신림역","세이브마트앞","h",126.9181217068,37.4737877659,15.15
"8552 : 신림복지관 - 신림역","신림복지관앞","s",126.9196308518,37.4651937198,291.2
"8552 : 신림복지관 - 신림역","신림복지관앞","h",126.9196308518,37.4651937198,0.3
"8552 : 신림복지관 - 신림역","신림사거리.신림역","s",126.927447,37.483857,3.95
"8552 : 신림복지관 - 신림역","신림사거리.신림역","h",126.927447,37.483857,2904.8
"8552 : 신림복지관 - 신림역","신림청소년독서실.신림체육센터","s",126.9149276545,37.4804401029,118.6
"8552 : 신림복지관 - 신림역","신림청소년독서실.신림체육센터","h",126.9149276545,37.4804401029,207.25
"8552 : 신림복지관 - 신림역","신일교회앞","s",126.9168669706,37.4753476087,307.95
"8552 : 신림복지관 - 신림역","신일교회앞","h",126.9168669706,37.4753476087,30.15
"8552 : 신림복지관 - 신림역","우림시장.난곡보건분소","s",126.9199758577,37.4703944371,1201.3
"8552 : 신림복지관 - 신림역","우림시장.난곡보건분소","h",126.9199758577,37.4703944371,7.45
"8552 : 신림복지관 - 신림역","호림박물관","s",126.9185916485,37.4824601836,99.3
"8552 : 신림복지관 - 신림역","호림박물관","h",126.9185916485,37.4824601836,66.8
"8761 : 신촌로터리 - 국회의사당","광흥창역.서강동주민센터","s",126.9315290886,37.5481062191,2133.55
"8761 : 신촌로터리 - 국회의사당","광흥창역.서강동주민센터","s",126.9317631761,37.5483108618,2.25
"8761 : 신촌로터리 - 국회의사당","광흥창역.서강동주민센터","h",126.9315290886,37.5481062191,172.85
"8761 : 신촌로터리 - 국회의사당","광흥창역.서강동주민센터","h",126.9317631761,37.5483108618,71.2
"8761 : 신촌로터리 - 국회의사당","국회의사당","s",126.9178482397,37.5295569413,47.65
"8761 : 신촌로터리 - 국회의사당","국회의사당","s",126.9192162727,37.5305793782,14.95
"8761 : 신촌로터리 - 국회의사당","국회의사당","h",126.9178482397,37.5295569413,5.15
"8761 : 신촌로터리 - 국회의사당","국회의사당","h",126.9192162727,37.5305793782,2217.8
"8761 : 신촌로터리 - 국회의사당","국회의사당역","s",126.9176121282,37.5282281884,5.3
"8761 : 신촌로터리 - 국회의사당","국회의사당역","h",126.9176121282,37.5282281884,754.75
"8761 : 신촌로터리 - 국회의사당","국회의사당역.국민은행","s",126.9179115152,37.5281349845,43.3
"8761 : 신촌로터리 - 국회의사당","국회의사당역.국민은행","h",126.9179115152,37.5281349845,1.15
"8761 : 신촌로터리 - 국회의사당","신촌로터리","s",126.9348657779,37.5539946587,1044.45
"8761 : 신촌로터리 - 국회의사당","신촌로터리","h",126.9348657779,37.5539946587,9.5
"8761 : 신촌로터리 - 국회의사당","창전현대홈타운","s",126.9324079567,37.5506684232,158.8
"8761 : 신촌로터리 - 국회의사당","창전현대홈타운","s",126.9325437603,37.5506860349,0.05
"8761 : 신촌로터리 - 국회의사당","창전현대홈타운","h",126.9324079567,37.5506684232,11.9
